212,"Via Galileo Galilei 212, 41126, Modena Italy",https://www.tripadvisor.com/Restaurant_Review-g187803-d743384-Reviews-212-Modena_Province_of_Modena_Emilia_Romagna.html#REVIEWS,http://www.ristorante212.it/,"Italian, Bar, Cafe, Mediterranean, European, Emilian, Northern-Italian",785,0,3,4,2,1
O&C Restaurant,"Beirut to Tripoli Highway, Beirut Lebanon",https://www.tripadvisor.com/Restaurant_Review-g294005-d2517171-Reviews-O_C_Restaurant-Beirut.html#REVIEWS,https://www.facebook.com/OandCthefreshmarket/,"Seafood, Sushi",78,25,31,11,0,1
A.O.C.,"8700 W 3rd St, Los Angeles, CA 90048-3804",https://www.tripadvisor.com/Restaurant_Review-g32655-d350445-Reviews-A_O_C-Los_Angeles_California.html#REVIEWS,http://www.aocwinebar.com/,Wine Bar,455,228,138,41,17,6
Alain Ducasse at The Dorchester,"53 Park Lane Closest tube stations: Hyde Park Corner and Marble Arch, London W1K 1QA England",https://www.tripadvisor.com/Restaurant_Review-g186338-d1205756-Reviews-Alain_Ducasse_at_The_Dorchester-London_England.html#REVIEWS,https://www.dorchestercollection.com/london/the-dorchester/dining/alain-ducasse,"French, European, Contemporary",1763,1033,238,143,83,46
Balthazar,"80 Spring St, New York City, NY 10012-3907",https://www.tripadvisor.com/Restaurant_Review-g60763-d423353-Reviews-Balthazar-New_York_City_New_York.html#REVIEWS,http://balthazarny.com/,"French, European, Soups",6546,2341,1348,459,146,106
Brasserie Barbes,"2 boulevard Barbes Métro Barbès Rochechouart, 75018 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d8264534-Reviews-Brasserie_Barbes-Paris_Ile_de_France.html#REVIEWS,http://www.brasseriebarbes.com/#presentation,"French, Bar, European",929,57,40,19,15,13
Bistro Six-One,"61 Queen St, Niagara-on-the-Lake, Ontario ONL0S Canada",https://www.tripadvisor.com/Restaurant_Review-g154999-d1535885-Reviews-Bistro_Six_One-Niagara_on_the_Lake_Ontario.html#REVIEWS,http://www.bistrosixone.com/,"Pizza, Canadian",1064,364,379,163,53,48
Terminus Nord,"23 rue de Dunkerque 23 Rue de Dunkerque, 75010 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d719935-Reviews-Terminus_Nord-Paris_Ile_de_France.html#REVIEWS,https://www.terminusnord.com/?y_source=1_MTE2NjUxODItNzY5LWxvY2F0aW9uLndlYnNpdGU%3D,"French, European",2232,360,361,126,61,52
Le Bistrot d'Henri,"16 rue Princesse, 75006 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d719036-Reviews-Le_Bistrot_d_Henri-Paris_Ile_de_France.html#REVIEWS,http://bistrotdhenri.fr/,"French, European",957,374,158,27,21,25
Le Bistro des Amis,"1 Jerry Croft, Skipton BD23 1DX England",https://www.tripadvisor.com/Restaurant_Review-g209940-d2150060-Reviews-Le_Bistro_des_Amis-Skipton_North_Yorkshire_England.html#REVIEWS,http://www.lebistrodesamis.co.uk/,"French, European",1524,1059,272,111,52,23
Brasserie Chez Julien,"10 avenue Camille Page, 86100 Chatellerault France",https://www.tripadvisor.com/Restaurant_Review-g196665-d8179256-Reviews-Brasserie_Chez_Julien-Chatellerault_Vienne_Nouvelle_Aquitaine.html#REVIEWS,http://www.facebook.com/brasseriejulien,"French, Bar, International, Grill",232,2,5,2,0,0
Cafe Gitane,"242 Mott St Frnt 2, New York City, NY 10012-3434",https://www.tripadvisor.com/Restaurant_Review-g60763-d424294-Reviews-Cafe_Gitane-New_York_City_New_York.html#REVIEWS,http://www.cafegitanenyc.com/,"American, Cafe, Middle Eastern",348,90,86,20,18,6
Copinette,"891 1st Ave., New York City, NY 10022",https://www.tripadvisor.com/Restaurant_Review-g60763-d14091454-Reviews-Copinette-New_York_City_New_York.html#REVIEWS,https://copinettenyc.com/,"American, Contemporary",49,27,10,3,0,3
Loup,"44 rue du Louvre 75001, 75001 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d5797702-Reviews-Loup-Paris_Ile_de_France.html#REVIEWS,http://www.loup-paris.com/,"French, Bar, European, Healthy",640,63,62,20,10,10
Cafe Un Deux Trois,"123 W 44th St, New York City, NY 10036-4089",https://www.tripadvisor.com/Restaurant_Review-g60763-d495858-Reviews-Cafe_Un_Deux_Trois-New_York_City_New_York.html#REVIEWS,http://www.cafeundeuxtrois.com/,"French, Cafe, European",1705,443,617,252,96,34
Café des Artistes,"Calle Guadalupe Sanchez 740 Centro, Puerto Vallarta 48300 Mexico",https://www.tripadvisor.com/Restaurant_Review-g150793-d801179-Reviews-Cafe_des_Artistes-Puerto_Vallarta.html#REVIEWS,http://www.cafedesartistes.com/,"Mexican, French, International",6541,3663,368,200,108,84
