idx,Query,Restaurant Name,Address,URL,Restaurant URL,Cuisines,Number of Reviews,Excellent reviews,Very good reviews,Average reviews,Poor reviews,Terrible reviews
28,Brasserie LCB,Bombay Brasserie,"Burj Khalifa St, Dubai 8489 United Arab Emirates",https://www.tripadvisor.com/Restaurant_Review-g295424-d8091861-Reviews-Bombay_Brasserie-Dubai_Emirate_of_Dubai.html#REVIEWS,https://taj.tajhotels.com/en-in/taj-dubai/restaurants/bombay-brasserie/,"Indian, Asian",2001,1672,152,24,9,3
14,Balthazar,Balthazar,"80 Spring St, New York City, NY 10012-3907",https://www.tripadvisor.com/Restaurant_Review-g60763-d423353-Reviews-Balthazar-New_York_City_New_York.html#REVIEWS,http://balthazarny.com/,"French, European, Soups",6547,2341,1348,459,146,106
0,14 Wall Street,La Vong Grilled Fish,"14 Cha Ca Hang Bo, Hoan Kiem, Hanoi Vietnam",https://www.tripadvisor.com/Restaurant_Review-g293924-d808374-Reviews-La_Vong_Grilled_Fish-Hanoi.html#REVIEWS,,"Seafood, Asian, Vietnamese",1127,164,205,148,138,231
29,Cafe Gitane,Cafe Gitane,"242 Mott St Frnt 2, New York City, NY 10012-3434",https://www.tripadvisor.com/Restaurant_Review-g60763-d424294-Reviews-Cafe_Gitane-New_York_City_New_York.html#REVIEWS,http://www.cafegitanenyc.com/,,348,90,86,20,18,6
15,Barbès,Brasserie Barbes,"2 boulevard Barbes Métro Barbès Rochechouart, 75018 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d8264534-Reviews-Brasserie_Barbes-Paris_Ile_de_France.html#REVIEWS,http://www.brasseriebarbes.com/#presentation,,929,57,40,19,15,13
1,212,212,"Via Galileo Galilei 212, 41126, Modena Italy",https://www.tripadvisor.com/Restaurant_Review-g187803-d743384-Reviews-212-Modena_Province_of_Modena_Emilia_Romagna.html#REVIEWS,http://www.ristorante212.it/,,785,0,3,4,2,1
16,Bayard's,Bayards Cove Inn Restaurant,"27 Lower Street, Dartmouth TQ6 9AN England",https://www.tripadvisor.com/Restaurant_Review-g186253-d4339473-Reviews-Bayards_Cove_Inn_Restaurant-Dartmouth_Devon_England.html#REVIEWS,http://www.bayardscoveinn.co.uk/cafe-bar-restaurant,,800,540,172,40,21,17
3,44,Steak 44,"5101 North 44th Street, Phoenix, AZ 85018",https://www.tripadvisor.com/Restaurant_Review-g31310-d3839768-Reviews-Steak_44-Phoenix_Arizona.html#REVIEWS,https://www.steak44.com/,Steakhouse,853,624,128,49,18,14
31,Cafe Loup,Loup,"44 rue du Louvre 75001, 75001 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d5797702-Reviews-Loup-Paris_Ile_de_France.html#REVIEWS,http://www.loup-paris.com/,,640,63,62,20,10,10
17,BED New York,The Top of The Standard,"848 Washington St The Standard High Line, New York City, NY 10014-1308",https://www.tripadvisor.com/Restaurant_Review-g60763-d2433995-Reviews-The_Top_of_The_Standard-New_York_City_New_York.html#REVIEWS,http://www.standardhotels.com/new-york/properties/high-line,,780,306,111,26,12,47
4,A,Club A Steakhouse,"240 E 58th St, New York City, NY 10022-2001",https://www.tripadvisor.com/Restaurant_Review-g60763-d1236281-Reviews-Club_A_Steakhouse-New_York_City_New_York.html#REVIEWS,http://www.clubasteakhouse.com/,"American, Steakhouse",4487,2812,334,139,54,37
