query,name,address,url,restaurant_url,cusines,number_of_reviews,food,service,price,decor,excellent,very_good,average,poor,terrible
Hiša Franko,HISA FRANKO,"Staro selo 1, Kobarid 5222 Slovenia",https://www.tripadvisor.com/Restaurant_Review-g319788-d1059106-Reviews-HISA_FRANKO-Kobarid_Slovenian_Littoral_Region.html#REVIEWS,http://www.hisafranko.com/,"European, Slovenian, Central European, Contemporary",756,45,45,40,45,319,50,27,6,9
Le Palais,Palais de Chine Hotel -Le Palais,"No.3, Sec. 1, Chengde Rd., Datong Dist 103, Palais De Chine Hotel 17F, Datong, Taipei 103 Taiwan",https://www.tripadvisor.com/Restaurant_Review-g13806451-d4505038-Reviews-Palais_de_Chine_Hotel_Le_Palais-Datong_Taipei.html#REVIEWS,http://www.palaisdechinehotel.com/tw/restaurant-info.php?id=6,"Chinese, Asian, Fusion",926,45,45,40,45,49,20,6,4,4
Taïrroir,Taïrroir,"6F, No.299, Lequn 3rd Road, Zhongshan District, Taipei 10462 Taiwan",https://www.tripadvisor.com/Restaurant_Review-g13808671-d10781430-Reviews-Tairroir-Zhongshan_District_Taipei.html#REVIEWS,http://www.tairroir.com/,"French, European, Contemporary",282,45,45,40,45,64,23,10,1,2
JL Studio,JL Studio,"2F, No.689, Sec.4, Yifeng Rd, Nantun Dist, Nantun, Taichung 408 Taiwan",https://www.tripadvisor.com/Restaurant_Review-g13806759-d12293166-Reviews-JL_Studio-Nantun_Taichung.html#REVIEWS,http://www.facebook.com/jlstudiotaiwan/,,24,50,45,45,,9,1,0,0,0
Addison,Addison Restaurant,"5200 Grand Del Mar Way, San Diego, CA 92130-4900",https://www.tripadvisor.com/Restaurant_Review-g60750-d665586-Reviews-Addison_Restaurant-San_Diego_California.html#REVIEWS,http://www.addisondelmar.com/,French,293,45,50,40,45,204,37,18,10,9
Quince,Quince,"470 Pacific Ave, San Francisco, CA 94133-4610",https://www.tripadvisor.com/Restaurant_Review-g60713-d349411-Reviews-Quince-San_Francisco_California.html#REVIEWS,http://www.quincerestaurant.com/,,555,45,50,40,45,362,79,30,20,12
SingleThread,SingleThread Farm Restaurant,"131 North St, Healdsburg, CA 95448-3821",https://www.tripadvisor.com/Restaurant_Review-g32482-d12111188-Reviews-SingleThread_Farm_Restaurant-Healdsburg_Sonoma_County_California.html#REVIEWS,http://singlethreadfarms.com/,"Contemporary, Kaiseki, Kyoto cuisine, Hokkaido cuisine",142,45,50,40,,100,17,9,6,6
Benu,Addison Restaurant,"5200 Grand Del Mar Way, San Diego, CA 92130-4900",https://www.tripadvisor.com/Restaurant_Review-g60750-d665586-Reviews-Addison_Restaurant-San_Diego_California.html#REVIEWS,http://www.addisondelmar.com/,French,293,45,50,40,45,204,37,18,10,9
The French Laundry,Per Se,"10 Columbus Cir, New York City, NY 10019-1158",https://www.tripadvisor.com/Restaurant_Review-g60763-d425628-Reviews-Per_Se-New_York_City_New_York.html#REVIEWS,http://www.perseny.com/,French,1869,45,50,40,45,1193,220,105,49,21
Les Amis,Les Amis,"1 Scotts Road #01-16 Shaw Centre, Singapore 228208 Singapore",https://www.tripadvisor.com/Restaurant_Review-g294265-d1102463-Reviews-Les_Amis-Singapore.html#REVIEWS,http://www.lesamis.com.sg/,French,522,45,45,40,35,307,83,42,17,8
