name,rating,title,review
HISA FRANKO,50,Sensational? Spectacular? Epic? Artful? Uber-Creative?,"Where do you begin when everything is so appetizing, well put together, tantalizing, unexpected, and flavorsome? When more than your sense of taste, is involved and you get a balanced experience between sight, touch, smell, and feel. An incredible dance for the palate.    First, they start with a heavy white bowl filled with wonderful, freshly picked, damp forest moss and ask you to feel it and smell it as a connection back to nature, a grounding to the present, which is what their menu represents. A bond, an association with the richness of nature’s many tastes, textures, colors, smells, and more. A connection to the local area, to now.    From the Fifty Shades of Life menu, a wink to Ana Roš and Hiša Franko Restaurant turning 50! Hoping for many more based on my experience here.  In awe of each dish (there were 18 of them – including the one you bring home), I kept wondering where such unfathomable creativity comes from. What kind of genius dreams-up stuff like that? Fig leaf granita mixed with puffed buckwheat? Beeswax fondue? Shiso leaf with mescal infused melon? Fig leaf kombucha tea.    The staff flowed through the tables, the outside patio, and all the rooms effortlessly and seamlessly. Whatever they promised, they never forgot to do. For example, they knew where I came from and one of their chef comes from the same part of Canada so at the end of the meal (at which point I had forgotten they would connect us) we met and it turns out he came from a mere 20km from where I do. Small world. Staff seems to be from many places, our server was from Colorado, USA, that chef from Québec, Canada, and many more.    There was no stuffy orchestration even though the coordination was flawless.    Even if you can’t or don’t want to drink alcohol, they have wonderful selections. I tried two of their Kombucha teas and both were marvelous, especially the fig leaf one (excellent and super refreshing, almost like a palate cleanser between courses).    It’s definitely not only about the presentation, the food, and the ambiance. What I also appreciated was just how connected the staff were with one another. Also their obvious love of the food. No matter how obscure a question was, they had an answer. I didn’t, for example, know what a lacto-fermented tomato water was (PS. It has nothing to do with milk). Once it was described to me, it helped me better understand the food I was served. So it is not only a tasting experience, but also a learning one.    I had a bit of a fear of coming to my first Michelin restaurant because I thought it would be a stodgy, pretentious place. As it turned out, everyone was very approachable, candid, polite, inquisitive, and fun, all the while attentive and professional. I could go on, but I’ll let you go and enjoy a meal there. I felt alive when I finished my meal despite the full stomach and the late hour. The portions and pace of each serving were perfect so I never felt overloaded. I would say, only one course wasn’t as good as all the others (too salty), the rest were all excellent and surprising.    Kudos to this amazing team who pulls this miracle night after night. Thank you for the great experience.    When checking out, you receive a menu signed by Ana herself accompanied by a specially made candy to take home. I am glad that my first Michelin experience was here. It will be hard to surpass.    OF NOTE: You cannot add a tip to your credit card bill so bring some cash if you want to tip."

HISA FRANKO,50,The ultimate dining experience,"Dining at Hisa Franko (chef Ana Ros) was the ultimate experience, as we had hoped. From arrival service to start of meal - and all 18 servings - just perfect. Some of the servings were perhaps a little too big - we had problems in eating it all.... - and very friendly and competent serving staff. To have such a place in the Slovenian Alps is pure magic."

HISA FRANKO,50,Top restaurant in rural Slovenia - I understand the 32rd place on the TOP 50 list.,"One of the best I've ever been. Some new flavors but that is one of the reasons to go to Hisa Franko.  Staff is very friendly, even Ana is on ""speaking"" terms with the guest (and yes even outside of the restaurant).  If you are in the neighborhood, don't hesitate! (although I don't think you can just pop-in :-))"

HISA FRANKO,50,Pure perfection,"WOW! What an incredible experience. Chef Ana Roš mixes local ingredients with haute cuisine, dishes look like paintings in Louvre. We’re blown away by the variety of flavors and techniques. Pure perfection. With professional service our evening was unforgettable."

HISA FRANKO,50,ONE OF A KIND EXPERIENCE,"I am not sure, where to start. Having a reservation for about 9 months, it was too long of a wait :) but worth it. We have booked the dine and stay option and I would strongly recommend this to anyone visiting Hisa (the breakfast is totally worth it :D )  Upon arrival, we were welcomed by Svetlana, shown to our room and went for a late lunch. Tilen recommended a fantastic local bubbly, and it went together just excellently with the local cheeses on offer.  The setting of Hisa is unique, so we basked in a summer sun, sipped on the bubbles in the blooming garden and chilled.  Dinner:  17 courses, spanning across 3-4 hours, plus an option for a cheese board, go for it.  Fantastic selection of wines at very reasonable prices.  Having a really bad experience from a 1star restaurant in Berlin recently, our worries faded away immediately after the opener and we just felt great, going on a culinary journey on and on.  Is 17 dishes little or too much? Just right I would say, in Hisa´s case.  Staff: WONDERFUL.  We had so much fun, as Maria, being from US, suddenly spoke to us in Czech the evening took a different spin, it was great.  The sommelier, young lady, was spot on. We did not opt for the wine pairing, but went instead for a superb 2008 blanc de blancs grand cru, couple glasses of wonderful reds and finished it off with an amazing Tokai.    This was an experience worth waiting for and if we ever have a chance to visit again, we won´t hesitate.  Greatest thanks to Tilen, Svetlana, Maria and rest of the staff.  You are guys doing a fantastic job and you can be proud of it.  Hope to see you soon again."

