name,rating,title,review
14 Wall Street,50,A favorite for many decades,"I've been coming to this place with my parents since I was a little child, and I'm now in my 30s. It's our family tradition. We love this place, and it's been written about in the NYT    It's a very old house (typical for the Old Quarter), but the dining room is air conditioned. The stairs are tiny because Vietnamese people are small, but just go slowly!    There is only one dish. You eat by mixing the herbs in with the fish, and then in a small bowl you gather vermicelli, a few peanuts, a dollop of shrimp paste, a few pieces of fish and maybe one teaspoon of oil from the pan. Mix them all up, and you have yourself a delicious dish! The quality has stayed consistent for the last ~20+ years.    Yes, it is 'more expensive' than the other street food in Hanoi, but still it's maybe $8/serving, and you'd probably need 2. Seems cheap to me!"

14 Wall Street,10,Disappointed at all! Services,"Disappointed at all!  Services are bad, prices are terrible.  Special are Owner and Staff. They are so impolite.  Maybe they think they famous and good business and they don care services.  Hope they can keep their business on the future.  First time and last time. Too scary and disappointed.  Not recommend."

14 Wall Street,10,This is first time and last time,"This is first time and last i come here.  They are so impolite and rude.  Owner and staff like crazy.  We can not finish our food, so we asked them take away. But they throw our thing and our food box on the table with impolite face.  Their services is nothing."

14 Wall Street,40,Oily grill fish,"One dish only at VD170,000 per person, serve on a mini cooking plate with boiling oil, the dish is quite special but consider expensive base compare to local food, restaurant is on the second floor and need to walk up via narrow staircase"

14 Wall Street,10,Wow!,"Four of us, visited this restaurant on 12-14 Cha Ca St, Old Quarter.  Up the dinghy lit wooden stairs. Crowded scene. Serves only one type of food... = must be damn good?  Oh well, fish soaking in oil in a pan. Local greens on the side and bowl of rice noodles.  Cost VND170k per pax.  No words exchange. No eye contact. No service.  We watched how the locals ate them, and followed.  HIGHLY NOT RECOMMENDED."

