name,number_of_reviews,food,service,price,decor,excellent,very_good,average,poor,terrible,sentiment_polarity_x,sentiment_subjectivity_x,InMichelin,Food,Decor,Service,Price,Number of Reviews,Excellent reviews,Very good reviews,Average reviews,Poor reviews,Terrible reviews,sentiment_polarity_y,sentiment_subjectivity_y
HISA FRANKO,756.0,45.0,45.0,40.0,45.0,319.0,50.0,27.0,6.0,9.0,0.3183934316061353,0.5688721231103792,,,,,,,,,,,,,
Palais de Chine Hotel -Le Palais,926.0,45.0,45.0,40.0,45.0,49.0,20.0,6.0,4.0,4.0,0.3484509706817928,0.601460063193093,,,,,,,,,,,,,
Taïrroir,282.0,45.0,45.0,40.0,45.0,64.0,23.0,10.0,1.0,2.0,0.3661363303744455,0.5911589042475898,,,,,,,,,,,,,
JL Studio,24.0,50.0,45.0,45.0,,9.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Addison Restaurant,293.0,45.0,50.0,40.0,45.0,204.0,37.0,18.0,10.0,9.0,0.2777140819438879,0.5603646612706178,,,,,,,,,,,,,
Addison Restaurant,293.0,45.0,50.0,40.0,45.0,204.0,37.0,18.0,10.0,9.0,0.2777140819438879,0.5603646612706178,,,,,,,,,,,,,
Addison Restaurant,293.0,45.0,50.0,40.0,45.0,204.0,37.0,18.0,10.0,9.0,0.2777140819438879,0.5603646612706178,,,,,,,,,,,,,
Quince,555.0,45.0,50.0,40.0,45.0,362.0,79.0,30.0,20.0,12.0,0.3454238137593736,0.615246756546838,,,,,,,,,,,,,
SingleThread Farm Restaurant,142.0,45.0,50.0,40.0,,100.0,17.0,9.0,6.0,6.0,0.2271819473724613,0.5814265048718867,,,,,,,,,,,,,
Per Se,1869.0,45.0,50.0,40.0,45.0,1193.0,220.0,105.0,49.0,21.0,0.2959406907194579,0.5935309762702243,,,,,,,,,,,,,
Per Se,1869.0,45.0,50.0,40.0,45.0,1193.0,220.0,105.0,49.0,21.0,0.2959406907194579,0.5935309762702243,,,,,,,,,,,,,
Les Amis,522.0,45.0,45.0,40.0,35.0,307.0,83.0,42.0,17.0,8.0,0.356773320373849,0.5961128242549699,,,,,,,,,,,,,
Odette's Restaurant,629.0,45.0,45.0,40.0,40.0,405.0,93.0,54.0,26.0,13.0,0.391032766250878,0.6338573895924229,,,,,,,,,,,,,
Noma,1778.0,45.0,50.0,40.0,45.0,936.0,159.0,60.0,35.0,33.0,0.3197283842090109,0.5872182999586816,,,,,,,,,,,,,
Koka,623.0,45.0,45.0,45.0,45.0,128.0,29.0,17.0,1.0,2.0,0.3798005591630591,0.6595711264430014,,,,,,,,,,,,,
Operakallaren,709.0,45.0,45.0,45.0,45.0,238.0,52.0,16.0,7.0,6.0,0.4366695770827427,0.6384815457268319,,,,,,,,,,,,,
Geranium,1157.0,50.0,45.0,45.0,45.0,611.0,67.0,30.0,18.0,7.0,0.3918706036258848,0.6334322240280502,,,,,,,,,,,,,
Geranium,1157.0,50.0,45.0,45.0,45.0,611.0,67.0,30.0,18.0,7.0,0.3918706036258848,0.6334322240280502,,,,,,,,,,,,,
Ta Vie,73.0,45.0,45.0,40.0,,42.0,11.0,7.0,0.0,3.0,0.2852615281010817,0.5782097894845927,,,,,,,,,,,,,
Ta Vie,73.0,45.0,45.0,40.0,,42.0,11.0,7.0,0.0,3.0,0.2852615281010817,0.5782097894845927,,,,,,,,,,,,,
Caprice (Central),967.0,45.0,45.0,40.0,45.0,552.0,127.0,56.0,21.0,13.0,0.285062813674971,0.561185222384161,,,,,,,,,,,,,
Sushi Yoshitake,169.0,50.0,50.0,40.0,45.0,98.0,4.0,3.0,2.0,2.0,0.3103078631698045,0.5641283362008722,,,,,,,,,,,,,
Sushi Yoshitake,169.0,50.0,50.0,40.0,45.0,98.0,4.0,3.0,2.0,2.0,0.3103078631698045,0.5641283362008722,,,,,,,,,,,,,
Sushi Yoshitake,169.0,50.0,50.0,40.0,45.0,98.0,4.0,3.0,2.0,2.0,0.3103078631698045,0.5641283362008722,,,,,,,,,,,,,
"T'ang Court - The Langham, Hong Kong",538.0,40.0,40.0,35.0,40.0,210.0,88.0,48.0,27.0,24.0,0.2451556073696709,0.5799212916190366,,,,,,,,,,,,,
Le Bernardin,3594.0,45.0,45.0,40.0,45.0,2222.0,412.0,203.0,58.0,46.0,0.3399785294176194,0.5967333685819233,1.0,28.0,27.0,28.0,100.0,3594.0,2222.0,412.0,203.0,58.0,46.0,0.3461202625542593,0.5974962574337066
Le Bernardin,3594.0,45.0,45.0,40.0,45.0,2222.0,412.0,203.0,58.0,46.0,0.3399785294176194,0.5967333685819233,1.0,28.0,27.0,28.0,100.0,3594.0,2222.0,412.0,203.0,58.0,46.0,0.3461202625542593,0.5974962574337066
8 1/2 Otto e Mezzo Bombana,564.0,45.0,45.0,40.0,40.0,273.0,110.0,48.0,17.0,9.0,0.275837510275015,0.5355820688694631,,,,,,,,,,,,,
The Eight,0.0,45.0,45.0,40.0,45.0,147.0,61.0,26.0,8.0,7.0,0.251096644117581,0.5771585069931852,,,,,,,,,,,,,
L'Atelier De Joël Robuchon Saint-Germain,2757.0,45.0,40.0,35.0,40.0,820.0,264.0,144.0,86.0,89.0,0.2511619062009133,0.5404980997808285,,,,,,,,,,,,,
L'Atelier De Joël Robuchon Saint-Germain,2757.0,45.0,40.0,35.0,40.0,820.0,264.0,144.0,86.0,89.0,0.2511619062009133,0.5404980997808285,,,,,,,,,,,,,
L'Atelier De Joël Robuchon Saint-Germain,2757.0,45.0,40.0,35.0,40.0,820.0,264.0,144.0,86.0,89.0,0.2511619062009133,0.5404980997808285,,,,,,,,,,,,,
L'Atelier De Joël Robuchon Saint-Germain,2757.0,45.0,40.0,35.0,40.0,820.0,264.0,144.0,86.0,89.0,0.2511619062009133,0.5404980997808285,,,,,,,,,,,,,
Jade Dragon,185.0,50.0,45.0,40.0,45.0,90.0,22.0,8.0,2.0,4.0,0.3328114520347006,0.5641281045169229,,,,,,,,,,,,,
De Librije,691.0,50.0,50.0,45.0,45.0,169.0,11.0,3.0,6.0,1.0,0.3282578295391912,0.5734305802998841,,,,,,,,,,,,,
SaQuaNa,1064.0,45.0,45.0,45.0,45.0,108.0,16.0,9.0,3.0,5.0,0.3074252805166155,0.5884494880446159,,,,,,,,,,,,,
JAN,1673.0,50.0,50.0,45.0,45.0,753.0,65.0,25.0,7.0,6.0,0.3325513273508881,0.602825729943914,,,,,,,,,,,,,
Restaurant Schwarzwaldstube,440.0,50.0,45.0,45.0,45.0,64.0,18.0,1.0,0.0,1.0,0.3695464681347246,0.604165674097088,,,,,,,,,,,,,
Restaurant Schwarzwaldstube,440.0,50.0,45.0,45.0,45.0,64.0,18.0,1.0,0.0,1.0,0.3695464681347246,0.604165674097088,,,,,,,,,,,,,
Restaurant Schwarzwaldstube,440.0,50.0,45.0,45.0,45.0,64.0,18.0,1.0,0.0,1.0,0.3695464681347246,0.604165674097088,,,,,,,,,,,,,
Rutz Restaurant - Weinbar,723.0,45.0,45.0,40.0,40.0,234.0,78.0,29.0,13.0,17.0,,,,,,,,,,,,,,,
