name,address,url,restaurant_url,InMichelin,food,service,price,decor,number_of_reviews,excellent,very_good,average,poor,terrible,sentiment_polarity,sentiment_subjectivity
HISA FRANKO,"Staro selo 1, Kobarid 5222 Slovenia",https://www.tripadvisor.com/Restaurant_Review-g319788-d1059106-Reviews-HISA_FRANKO-Kobarid_Slovenian_Littoral_Region.html#REVIEWS,http://www.hisafranko.com/,1,45,45,40,45,756,319,50,27,6,9,0.318393432,0.568872123
Palais de Chine Hotel -Le Palais,"No.3, Sec. 1, Chengde Rd., Datong Dist 103, Palais De Chine Hotel 17F, Datong, Taipei 103 Taiwan",https://www.tripadvisor.com/Restaurant_Review-g13806451-d4505038-Reviews-Palais_de_Chine_Hotel_Le_Palais-Datong_Taipei.html#REVIEWS,http://www.palaisdechinehotel.com/tw/restaurant-info.php?id=6,1,45,45,40,45,926,49,20,6,4,4,0.348450971,0.601460063
Taïrroir,"6F, No.299, Lequn 3rd Road, Zhongshan District, Taipei 10462 Taiwan",https://www.tripadvisor.com/Restaurant_Review-g13808671-d10781430-Reviews-Tairroir-Zhongshan_District_Taipei.html#REVIEWS,http://www.tairroir.com/,1,45,45,40,45,282,64,23,10,1,2,0.36613633,0.591158904
JL Studio,"2F, No.689, Sec.4, Yifeng Rd, Nantun Dist, Nantun, Taichung 408 Taiwan",https://www.tripadvisor.com/Restaurant_Review-g13806759-d12293166-Reviews-JL_Studio-Nantun_Taichung.html#REVIEWS,http://www.facebook.com/jlstudiotaiwan/,1,50,45,45,,24,9,1,0,0,0,,
Addison Restaurant,"5200 Grand Del Mar Way, San Diego, CA 92130-4900",https://www.tripadvisor.com/Restaurant_Review-g60750-d665586-Reviews-Addison_Restaurant-San_Diego_California.html#REVIEWS,http://www.addisondelmar.com/,1,45,50,40,45,293,204,37,18,10,9,0.277714082,0.560364661
Quince,"470 Pacific Ave, San Francisco, CA 94133-4610",https://www.tripadvisor.com/Restaurant_Review-g60713-d349411-Reviews-Quince-San_Francisco_California.html#REVIEWS,http://www.quincerestaurant.com/,1,45,50,40,45,555,362,79,30,20,12,0.345423814,0.615246757
SingleThread Farm Restaurant,"131 North St, Healdsburg, CA 95448-3821",https://www.tripadvisor.com/Restaurant_Review-g32482-d12111188-Reviews-SingleThread_Farm_Restaurant-Healdsburg_Sonoma_County_California.html#REVIEWS,http://singlethreadfarms.com/,1,45,50,40,,142,100,17,9,6,6,0.227181947,0.581426505
Addison Restaurant,"5200 Grand Del Mar Way, San Diego, CA 92130-4900",https://www.tripadvisor.com/Restaurant_Review-g60750-d665586-Reviews-Addison_Restaurant-San_Diego_California.html#REVIEWS,http://www.addisondelmar.com/,1,45,50,40,45,293,204,37,18,10,9,0.277714082,0.560364661
Per Se,"10 Columbus Cir, New York City, NY 10019-1158",https://www.tripadvisor.com/Restaurant_Review-g60763-d425628-Reviews-Per_Se-New_York_City_New_York.html#REVIEWS,http://www.perseny.com/,1,45,50,40,45,1869,1193,220,105,49,21,0.295940691,0.593530976
Les Amis,"1 Scotts Road #01-16 Shaw Centre, Singapore 228208 Singapore",https://www.tripadvisor.com/Restaurant_Review-g294265-d1102463-Reviews-Les_Amis-Singapore.html#REVIEWS,http://www.lesamis.com.sg/,1,45,45,40,35,522,307,83,42,17,8,0.35677332,0.596112824
